env_name,library_type,optimizer_type,optimizer_name,threshold,alpha,mse,mse_qat
CartPole-v1,poly,hardware,STLSQ,1e-05,1e-05,0.057424103625100885,2.3561094350039813
CartPole-v1,poly,hardware,STLSQ,1e-05,0.0001291549665014884,0.057424103625100885,2.3561094350039813
CartPole-v1,poly,hardware,STLSQ,1e-05,0.0016681005372000592,0.057424103625100885,2.3561094350039813
CartPole-v1,poly,hardware,STLSQ,1e-05,0.021544346900318846,0.057424103625100885,2.3561094350039813
CartPole-v1,poly,hardware,STLSQ,1e-05,0.2782559402207126,0.057424103625100885,2.3561094350039813
CartPole-v1,poly,hardware,STLSQ,1e-05,3.593813663804626,0.05968623321110238,2.2714413467812915
CartPole-v1,poly,hardware,STLSQ,1e-05,46.41588833612782,0.062031051493873175,2.041495435727239
CartPole-v1,poly,hardware,STLSQ,1e-05,599.4842503189421,0.06372860448553201,1.9492411362765445
CartPole-v1,poly,hardware,STLSQ,1e-05,7742.636826811277,0.06782750906871543,2.326627543416664
CartPole-v1,poly,hardware,STLSQ,1e-05,100000.0,0.0738266983689673,1.2013806536463973
CartPole-v1,poly,hardware,STLSQ,4.641588833612782e-05,1e-05,0.057424103625100885,2.3561094350039813
CartPole-v1,poly,hardware,STLSQ,4.641588833612782e-05,0.0001291549665014884,0.057424103625100885,2.3561094350039813
CartPole-v1,poly,hardware,STLSQ,4.641588833612782e-05,0.0016681005372000592,0.057424103625100885,2.3561094350039813
CartPole-v1,poly,hardware,STLSQ,4.641588833612782e-05,0.021544346900318846,0.057424103625100885,2.3561094350039813
CartPole-v1,poly,hardware,STLSQ,4.641588833612782e-05,0.2782559402207126,0.057424103625100885,2.3561094350039813
CartPole-v1,poly,hardware,STLSQ,4.641588833612782e-05,3.593813663804626,0.06137613501948753,1.8491073809421505
CartPole-v1,poly,hardware,STLSQ,4.641588833612782e-05,46.41588833612782,0.06361008930912063,2.2162513988305537
CartPole-v1,poly,hardware,STLSQ,4.641588833612782e-05,599.4842503189421,0.07221639578773045,1.3362981944309793
CartPole-v1,poly,hardware,STLSQ,4.641588833612782e-05,7742.636826811277,0.08594981066990533,0.8166181066422975
CartPole-v1,poly,hardware,STLSQ,4.641588833612782e-05,100000.0,0.08461751852376083,1.2118928490009329
CartPole-v1,poly,hardware,STLSQ,0.00021544346900318823,1e-05,0.057424103625100885,2.3561094350039813
CartPole-v1,poly,hardware,STLSQ,0.00021544346900318823,0.0001291549665014884,0.057424103625100885,2.3561094350039813
CartPole-v1,poly,hardware,STLSQ,0.00021544346900318823,0.0016681005372000592,0.057424103625100885,2.3561094350039813
CartPole-v1,poly,hardware,STLSQ,0.00021544346900318823,0.021544346900318846,0.057424103625100885,2.3561094350039813
CartPole-v1,poly,hardware,STLSQ,0.00021544346900318823,0.2782559402207126,0.05968743424273853,2.2725042830560445
CartPole-v1,poly,hardware,STLSQ,0.00021544346900318823,3.593813663804626,0.06310288173425539,2.003380926781372
