env_name,library_type,optimizer_type,optimizer_name,threshold,alpha,mse,mse_qat
CartPole-v1,poly,regular,ConstrainedSR3,10.0,1e-05,0.4938,0.4938
CartPole-v1,poly,regular,ConstrainedSR3,10.0,0.0001291549665014884,0.4938,0.4938
CartPole-v1,poly,regular,ConstrainedSR3,10.0,0.0016681005372000592,0.0775425879600202,0.7678844847745894
CartPole-v1,poly,regular,ConstrainedSR3,10.0,0.021544346900318846,0.08065730883400342,0.3477598178810476
CartPole-v1,poly,regular,ConstrainedSR3,10.0,0.2782559402207126,0.08406153973036672,0.25611448001570813
CartPole-v1,poly,regular,ConstrainedSR3,10.0,3.593813663804626,0.09036684744669471,0.09161721716036225
CartPole-v1,poly,regular,ConstrainedSR3,10.0,46.41588833612782,0.10748322440533616,0.10760760264097963
CartPole-v1,poly,regular,ConstrainedSR3,10.0,599.4842503189421,0.11365037306617107,0.11296841993236885
CartPole-v1,poly,regular,ConstrainedSR3,10.0,7742.636826811277,0.25794193779872393,0.264075
CartPole-v1,poly,regular,ConstrainedSR3,10.0,100000.0,0.4937999999999998,0.4938
CartPole-v1,poly,regular,ConstrainedSR3,1778.2794100389228,1e-05,0.4938,0.4938
CartPole-v1,poly,regular,ConstrainedSR3,1778.2794100389228,0.0001291549665014884,0.4938,0.4938
CartPole-v1,poly,regular,ConstrainedSR3,1778.2794100389228,0.0016681005372000592,0.0654673002960843,1.6697292102975079
CartPole-v1,poly,regular,ConstrainedSR3,1778.2794100389228,0.021544346900318846,0.07352487546582344,0.7076541380236692
CartPole-v1,poly,regular,ConstrainedSR3,1778.2794100389228,0.2782559402207126,0.07678234675836061,0.45288416654640695
CartPole-v1,poly,regular,ConstrainedSR3,1778.2794100389228,3.593813663804626,0.08871927920788339,0.09065306453592575
CartPole-v1,poly,regular,ConstrainedSR3,1778.2794100389228,46.41588833612782,0.10748322440533616,0.10760760264097963
CartPole-v1,poly,regular,ConstrainedSR3,1778.2794100389228,599.4842503189421,0.11365037306617107,0.11296841993236885
CartPole-v1,poly,regular,ConstrainedSR3,1778.2794100389228,7742.636826811277,0.25794193779872393,0.264075
CartPole-v1,poly,regular,ConstrainedSR3,1778.2794100389228,100000.0,0.4937999999999998,0.4938
CartPole-v1,poly,regular,ConstrainedSR3,316227.7660168379,1e-05,0.4938,0.4938
CartPole-v1,poly,regular,ConstrainedSR3,316227.7660168379,0.0001291549665014884,0.4938,0.4938
CartPole-v1,poly,regular,ConstrainedSR3,316227.7660168379,0.0016681005372000592,0.06439795560278193,1.9656065662903588
CartPole-v1,poly,regular,ConstrainedSR3,316227.7660168379,0.021544346900318846,0.07352487546582344,0.7076541380236692
CartPole-v1,poly,regular,ConstrainedSR3,316227.7660168379,0.2782559402207126,0.07678234675836061,0.45288416654640695
CartPole-v1,poly,regular,ConstrainedSR3,316227.7660168379,3.593813663804626,0.08871927920788339,0.09065306453592575
CartPole-v1,poly,regular,ConstrainedSR3,316227.7660168379,46.41588833612782,0.10748322440533616,0.10760760264097963
CartPole-v1,poly,regular,ConstrainedSR3,316227.7660168379,599.4842503189421,0.11365037306617107,0.11296841993236885
CartPole-v1,poly,regular,ConstrainedSR3,316227.7660168379,7742.636826811277,0.25794193779872393,0.264075
CartPole-v1,poly,regular,ConstrainedSR3,316227.7660168379,100000.0,0.4937999999999998,0.4938
CartPole-v1,poly,regular,ConstrainedSR3,56234132.51903491,1e-05,0.4938,0.4938
CartPole-v1,poly,regular,ConstrainedSR3,56234132.51903491,0.0001291549665014884,0.4938,0.4938
CartPole-v1,poly,regular,ConstrainedSR3,56234132.51903491,0.0016681005372000592,0.06439795560278193,1.9656065662903588
CartPole-v1,poly,regular,ConstrainedSR3,56234132.51903491,0.021544346900318846,0.07352487546582344,0.7076541380236692
CartPole-v1,poly,regular,ConstrainedSR3,56234132.51903491,0.2782559402207126,0.07678234675836061,0.45288416654640695
CartPole-v1,poly,regular,ConstrainedSR3,56234132.51903491,3.593813663804626,0.08871927920788339,0.09065306453592575
CartPole-v1,poly,regular,ConstrainedSR3,56234132.51903491,46.41588833612782,0.10748322440533616,0.10760760264097963
CartPole-v1,poly,regular,ConstrainedSR3,56234132.51903491,599.4842503189421,0.11365037306617107,0.11296841993236885
CartPole-v1,poly,regular,ConstrainedSR3,56234132.51903491,7742.636826811277,0.25794193779872393,0.264075
CartPole-v1,poly,regular,ConstrainedSR3,56234132.51903491,100000.0,0.4937999999999998,0.4938
CartPole-v1,poly,regular,ConstrainedSR3,10000000000.0,1e-05,0.4938,0.4938
CartPole-v1,poly,regular,ConstrainedSR3,10000000000.0,0.0001291549665014884,0.4938,0.4938
CartPole-v1,poly,regular,ConstrainedSR3,10000000000.0,0.0016681005372000592,0.06439795560278193,1.9656065662903588
CartPole-v1,poly,regular,ConstrainedSR3,10000000000.0,0.021544346900318846,0.07352487546582344,0.7076541380236692
CartPole-v1,poly,regular,ConstrainedSR3,10000000000.0,0.2782559402207126,0.07678234675836061,0.45288416654640695
CartPole-v1,poly,regular,ConstrainedSR3,10000000000.0,3.593813663804626,0.08871927920788339,0.09065306453592575
CartPole-v1,poly,regular,ConstrainedSR3,10000000000.0,46.41588833612782,0.10748322440533616,0.10760760264097963
CartPole-v1,poly,regular,ConstrainedSR3,10000000000.0,599.4842503189421,0.11365037306617107,0.11296841993236885
CartPole-v1,poly,regular,ConstrainedSR3,10000000000.0,7742.636826811277,0.25794193779872393,0.264075
CartPole-v1,poly,regular,ConstrainedSR3,10000000000.0,100000.0,0.4937999999999998,0.4938
