env_name,library_type,optimizer_type,optimizer_name,threshold,alpha,mse,mse_qat
CartPole-v1,hw,hardware,ConstrainedSR3,10.0,1e-05,0.4938,0.4938
CartPole-v1,hw,hardware,ConstrainedSR3,10.0,0.0001291549665014884,0.4938,0.4938
CartPole-v1,hw,hardware,ConstrainedSR3,10.0,0.0016681005372000592,0.4938,0.4938
CartPole-v1,hw,hardware,ConstrainedSR3,10.0,0.021544346900318846,0.4938,0.4938
CartPole-v1,hw,hardware,ConstrainedSR3,10.0,0.2782559402207126,0.07317168430056001,6.481633472256426
CartPole-v1,hw,hardware,ConstrainedSR3,10.0,3.593813663804626,0.08476937455202128,0.2713338925696957
CartPole-v1,hw,hardware,ConstrainedSR3,10.0,46.41588833612782,0.10153241077138259,0.10299603820180891
CartPole-v1,hw,hardware,ConstrainedSR3,10.0,599.4842503189421,0.1094798464138531,0.11134366220714405
CartPole-v1,hw,hardware,ConstrainedSR3,10.0,7742.636826811277,0.2361439242021899,0.24495039643451474
CartPole-v1,hw,hardware,ConstrainedSR3,10.0,100000.0,0.48820639351089623,0.4938
CartPole-v1,hw,hardware,ConstrainedSR3,1778.2794100389228,1e-05,0.4938,0.4938
CartPole-v1,hw,hardware,ConstrainedSR3,1778.2794100389228,0.0001291549665014884,0.4938,0.4938
CartPole-v1,hw,hardware,ConstrainedSR3,1778.2794100389228,0.0016681005372000592,0.4938,0.4938
CartPole-v1,hw,hardware,ConstrainedSR3,1778.2794100389228,0.021544346900318846,0.4938,0.4938
CartPole-v1,hw,hardware,ConstrainedSR3,1778.2794100389228,0.2782559402207126,0.07285157646580764,36.43609426632382
CartPole-v1,hw,hardware,ConstrainedSR3,1778.2794100389228,3.593813663804626,0.0847690849412848,0.2822318111935594
CartPole-v1,hw,hardware,ConstrainedSR3,1778.2794100389228,46.41588833612782,0.10153241077138259,0.10299603820180891
CartPole-v1,hw,hardware,ConstrainedSR3,1778.2794100389228,599.4842503189421,0.1094798464138531,0.11134366220714405
CartPole-v1,hw,hardware,ConstrainedSR3,1778.2794100389228,7742.636826811277,0.2361439242021899,0.24495039643451474
CartPole-v1,hw,hardware,ConstrainedSR3,1778.2794100389228,100000.0,0.48820639351089623,0.4938
CartPole-v1,hw,hardware,ConstrainedSR3,316227.7660168379,1e-05,0.4938,0.4938
CartPole-v1,hw,hardware,ConstrainedSR3,316227.7660168379,0.0001291549665014884,0.4938,0.4938
CartPole-v1,hw,hardware,ConstrainedSR3,316227.7660168379,0.0016681005372000592,0.4938,0.4938
CartPole-v1,hw,hardware,ConstrainedSR3,316227.7660168379,0.021544346900318846,0.4938,0.4938
CartPole-v1,hw,hardware,ConstrainedSR3,316227.7660168379,0.2782559402207126,0.07285157646580764,36.43609426632382
CartPole-v1,hw,hardware,ConstrainedSR3,316227.7660168379,3.593813663804626,0.0847690849412848,0.2822318111935594
CartPole-v1,hw,hardware,ConstrainedSR3,316227.7660168379,46.41588833612782,0.10153241077138259,0.10299603820180891
CartPole-v1,hw,hardware,ConstrainedSR3,316227.7660168379,599.4842503189421,0.1094798464138531,0.11134366220714405
CartPole-v1,hw,hardware,ConstrainedSR3,316227.7660168379,7742.636826811277,0.2361439242021899,0.24495039643451474
CartPole-v1,hw,hardware,ConstrainedSR3,316227.7660168379,100000.0,0.48820639351089623,0.4938
CartPole-v1,hw,hardware,ConstrainedSR3,56234132.51903491,1e-05,0.4938,0.4938
CartPole-v1,hw,hardware,ConstrainedSR3,56234132.51903491,0.0001291549665014884,0.4938,0.4938
CartPole-v1,hw,hardware,ConstrainedSR3,56234132.51903491,0.0016681005372000592,0.4938,0.4938
CartPole-v1,hw,hardware,ConstrainedSR3,56234132.51903491,0.021544346900318846,0.4938,0.4938
CartPole-v1,hw,hardware,ConstrainedSR3,56234132.51903491,0.2782559402207126,0.07285157646580764,36.43609426632382
CartPole-v1,hw,hardware,ConstrainedSR3,56234132.51903491,3.593813663804626,0.0847690849412848,0.2822318111935594
CartPole-v1,hw,hardware,ConstrainedSR3,56234132.51903491,46.41588833612782,0.10153241077138259,0.10299603820180891
CartPole-v1,hw,hardware,ConstrainedSR3,56234132.51903491,599.4842503189421,0.1094798464138531,0.11134366220714405
CartPole-v1,hw,hardware,ConstrainedSR3,56234132.51903491,7742.636826811277,0.2361439242021899,0.24495039643451474
CartPole-v1,hw,hardware,ConstrainedSR3,56234132.51903491,100000.0,0.48820639351089623,0.4938
CartPole-v1,hw,hardware,ConstrainedSR3,10000000000.0,1e-05,0.4938,0.4938
CartPole-v1,hw,hardware,ConstrainedSR3,10000000000.0,0.0001291549665014884,0.4938,0.4938
CartPole-v1,hw,hardware,ConstrainedSR3,10000000000.0,0.0016681005372000592,0.4938,0.4938
CartPole-v1,hw,hardware,ConstrainedSR3,10000000000.0,0.021544346900318846,0.4938,0.4938
CartPole-v1,hw,hardware,ConstrainedSR3,10000000000.0,0.2782559402207126,0.07285157646580764,36.43609426632382
CartPole-v1,hw,hardware,ConstrainedSR3,10000000000.0,3.593813663804626,0.0847690849412848,0.2822318111935594
CartPole-v1,hw,hardware,ConstrainedSR3,10000000000.0,46.41588833612782,0.10153241077138259,0.10299603820180891
CartPole-v1,hw,hardware,ConstrainedSR3,10000000000.0,599.4842503189421,0.1094798464138531,0.11134366220714405
CartPole-v1,hw,hardware,ConstrainedSR3,10000000000.0,7742.636826811277,0.2361439242021899,0.24495039643451474
CartPole-v1,hw,hardware,ConstrainedSR3,10000000000.0,100000.0,0.48820639351089623,0.4938
