env_name,library_type,optimizer_type,optimizer_name,threshold,alpha,mse,mse_qat,Nonzero count
Pendulum-v1,poly,hardware,ConstrainedSR3,10.0,1e-05,0.022563646412155258,209430.79042502938,56
Pendulum-v1,poly,hardware,ConstrainedSR3,10.0,0.0001291549665014884,0.022564501040754328,0.7046080714859293,56
Pendulum-v1,poly,hardware,ConstrainedSR3,10.0,0.0016681005372000592,0.4840341916843347,0.4840341916843347,56
Pendulum-v1,poly,hardware,ConstrainedSR3,10.0,0.021544346900318846,0.4840341916843347,0.4840341916843347,56
Pendulum-v1,poly,hardware,ConstrainedSR3,10.0,0.2782559402207126,0.4840341916843347,0.4840341916843347,56
Pendulum-v1,poly,hardware,ConstrainedSR3,10.0,3.593813663804626,0.4840341916843347,0.4840341916843347,56
Pendulum-v1,poly,hardware,ConstrainedSR3,10.0,46.41588833612782,0.4840341916843347,0.4840341916843347,56
Pendulum-v1,poly,hardware,ConstrainedSR3,10.0,599.4842503189421,0.06780327782961748,1.0737155673710537,56
Pendulum-v1,poly,hardware,ConstrainedSR3,10.0,7742.636826811277,0.1999105018118577,0.6550565321130949,56
Pendulum-v1,poly,hardware,ConstrainedSR3,10.0,100000.0,0.37469033634463705,0.4840341916843347,56
Pendulum-v1,poly,hardware,ConstrainedSR3,1778.2794100389228,1e-05,0.4840341916843347,0.4840341916843347,56
Pendulum-v1,poly,hardware,ConstrainedSR3,1778.2794100389228,0.0001291549665014884,0.022564501040754328,0.7046080714859293,56
Pendulum-v1,poly,hardware,ConstrainedSR3,1778.2794100389228,0.0016681005372000592,0.4840341916843347,0.4840341916843347,56
Pendulum-v1,poly,hardware,ConstrainedSR3,1778.2794100389228,0.021544346900318846,0.4840341916843347,0.4840341916843347,56
Pendulum-v1,poly,hardware,ConstrainedSR3,1778.2794100389228,0.2782559402207126,0.4840341916843347,0.4840341916843347,56
Pendulum-v1,poly,hardware,ConstrainedSR3,1778.2794100389228,3.593813663804626,0.4840341916843347,0.4840341916843347,56
Pendulum-v1,poly,hardware,ConstrainedSR3,1778.2794100389228,46.41588833612782,0.4840341916843347,0.4840341916843347,56
Pendulum-v1,poly,hardware,ConstrainedSR3,1778.2794100389228,599.4842503189421,0.06780327782961748,1.0737155673710537,56
Pendulum-v1,poly,hardware,ConstrainedSR3,1778.2794100389228,7742.636826811277,0.1999105018118577,0.6550565321130949,56
Pendulum-v1,poly,hardware,ConstrainedSR3,1778.2794100389228,100000.0,0.37469033634463705,0.4840341916843347,56
Pendulum-v1,poly,hardware,ConstrainedSR3,316227.7660168379,1e-05,0.4840341916843347,0.4840341916843347,56
Pendulum-v1,poly,hardware,ConstrainedSR3,316227.7660168379,0.0001291549665014884,0.022564501040754328,0.7046080714859293,56
Pendulum-v1,poly,hardware,ConstrainedSR3,316227.7660168379,0.0016681005372000592,0.4840341916843347,0.4840341916843347,56
Pendulum-v1,poly,hardware,ConstrainedSR3,316227.7660168379,0.021544346900318846,0.4840341916843347,0.4840341916843347,56
Pendulum-v1,poly,hardware,ConstrainedSR3,316227.7660168379,0.2782559402207126,0.4840341916843347,0.4840341916843347,56
Pendulum-v1,poly,hardware,ConstrainedSR3,316227.7660168379,3.593813663804626,0.4840341916843347,0.4840341916843347,56
Pendulum-v1,poly,hardware,ConstrainedSR3,316227.7660168379,46.41588833612782,0.4840341916843347,0.4840341916843347,56
Pendulum-v1,poly,hardware,ConstrainedSR3,316227.7660168379,599.4842503189421,0.06780327782961748,1.0737155673710537,56
Pendulum-v1,poly,hardware,ConstrainedSR3,316227.7660168379,7742.636826811277,0.1999105018118577,0.6550565321130949,56
Pendulum-v1,poly,hardware,ConstrainedSR3,316227.7660168379,100000.0,0.37469033634463705,0.4840341916843347,56
Pendulum-v1,poly,hardware,ConstrainedSR3,56234132.51903491,1e-05,0.4840341916843347,0.4840341916843347,56
Pendulum-v1,poly,hardware,ConstrainedSR3,56234132.51903491,0.0001291549665014884,0.022564501040754328,0.7046080714859293,56
Pendulum-v1,poly,hardware,ConstrainedSR3,56234132.51903491,0.0016681005372000592,0.4840341916843347,0.4840341916843347,56
Pendulum-v1,poly,hardware,ConstrainedSR3,56234132.51903491,0.021544346900318846,0.4840341916843347,0.4840341916843347,56
Pendulum-v1,poly,hardware,ConstrainedSR3,56234132.51903491,0.2782559402207126,0.4840341916843347,0.4840341916843347,56
Pendulum-v1,poly,hardware,ConstrainedSR3,56234132.51903491,3.593813663804626,0.4840341916843347,0.4840341916843347,56
Pendulum-v1,poly,hardware,ConstrainedSR3,56234132.51903491,46.41588833612782,0.4840341916843347,0.4840341916843347,56
Pendulum-v1,poly,hardware,ConstrainedSR3,56234132.51903491,599.4842503189421,0.06780327782961748,1.0737155673710537,56
Pendulum-v1,poly,hardware,ConstrainedSR3,56234132.51903491,7742.636826811277,0.1999105018118577,0.6550565321130949,56
Pendulum-v1,poly,hardware,ConstrainedSR3,56234132.51903491,100000.0,0.37469033634463705,0.4840341916843347,56
Pendulum-v1,poly,hardware,ConstrainedSR3,10000000000.0,1e-05,0.4840341916843347,0.4840341916843347,56
Pendulum-v1,poly,hardware,ConstrainedSR3,10000000000.0,0.0001291549665014884,0.022564501040754328,0.7046080714859293,56
Pendulum-v1,poly,hardware,ConstrainedSR3,10000000000.0,0.0016681005372000592,0.4840341916843347,0.4840341916843347,56
Pendulum-v1,poly,hardware,ConstrainedSR3,10000000000.0,0.021544346900318846,0.4840341916843347,0.4840341916843347,56
