env_name,library_type,optimizer_type,optimizer_name,threshold,alpha,mse,mse_qat,Nonzero count
Pendulum-v1,hw,hardware,STLSQ,1e-05,1e-05,0.1945598831612911,232353.58578990775,7
Pendulum-v1,hw,hardware,STLSQ,1e-05,0.0001291549665014884,0.1945598831612911,232353.58578990775,7
Pendulum-v1,hw,hardware,STLSQ,1e-05,0.0016681005372000592,0.1945598831612911,232353.58578990775,7
Pendulum-v1,hw,hardware,STLSQ,1e-05,0.021544346900318846,0.1945598831612911,232353.58578990775,7
Pendulum-v1,hw,hardware,STLSQ,1e-05,0.2782559402207126,0.19451718668302892,242625.13280953604,7
Pendulum-v1,hw,hardware,STLSQ,1e-05,3.593813663804626,0.1945598831612911,232353.58578990775,7
Pendulum-v1,hw,hardware,STLSQ,1e-05,46.41588833612782,0.1945598831612911,232353.58578990775,7
Pendulum-v1,hw,hardware,STLSQ,1e-05,599.4842503189421,0.19451718668302892,242625.13280953604,7
Pendulum-v1,hw,hardware,STLSQ,1e-05,7742.636826811277,0.1945598831612911,232353.58578990775,7
Pendulum-v1,hw,hardware,STLSQ,1e-05,100000.0,0.1945598831612911,232353.58578990775,7
Pendulum-v1,hw,hardware,STLSQ,5.994842503189409e-05,1e-05,0.1945598831612911,232353.58578990775,7
Pendulum-v1,hw,hardware,STLSQ,5.994842503189409e-05,0.0001291549665014884,0.1945598831612911,232353.58578990775,7
Pendulum-v1,hw,hardware,STLSQ,5.994842503189409e-05,0.0016681005372000592,0.1945598831612911,232353.58578990775,7
Pendulum-v1,hw,hardware,STLSQ,5.994842503189409e-05,0.021544346900318846,0.1945598831612911,232353.58578990775,7
Pendulum-v1,hw,hardware,STLSQ,5.994842503189409e-05,0.2782559402207126,0.19465587901232215,299441.1056814023,7
Pendulum-v1,hw,hardware,STLSQ,5.994842503189409e-05,3.593813663804626,0.19465587901232215,299441.1056814023,7
Pendulum-v1,hw,hardware,STLSQ,5.994842503189409e-05,46.41588833612782,0.19465587901232215,299441.1056814023,7
Pendulum-v1,hw,hardware,STLSQ,5.994842503189409e-05,599.4842503189421,0.19465587901232215,299441.1056814023,7
Pendulum-v1,hw,hardware,STLSQ,5.994842503189409e-05,7742.636826811277,0.1946823020863673,358736.9163432603,7
Pendulum-v1,hw,hardware,STLSQ,5.994842503189409e-05,100000.0,0.1946250096217321,316275.0099100548,7
Pendulum-v1,hw,hardware,STLSQ,0.00035938136638046257,1e-05,0.1945598831612911,232353.58578990775,7
Pendulum-v1,hw,hardware,STLSQ,0.00035938136638046257,0.0001291549665014884,0.19454054058040118,196874.7826694901,7
Pendulum-v1,hw,hardware,STLSQ,0.00035938136638046257,0.0016681005372000592,0.1945561092838141,240904.50577828215,7
