env_name,library_type,optimizer_type,optimizer_name,threshold,alpha,mse,mse_qat,Nonzero count
Pendulum-v1,hw,regular,ConstrainedSR3,10.0,1e-05,0.4840341916843347,0.4840341916843347,109
Pendulum-v1,hw,regular,ConstrainedSR3,10.0,0.0001291549665014884,0.1946303829155073,0.19509868693162327,109
Pendulum-v1,hw,regular,ConstrainedSR3,10.0,0.0016681005372000592,0.1946303831270992,0.2003271734180606,109
Pendulum-v1,hw,regular,ConstrainedSR3,10.0,0.021544346900318846,0.19463038442744063,0.19903018246204346,109
Pendulum-v1,hw,regular,ConstrainedSR3,10.0,0.2782559402207126,0.4840341916843347,0.4840341916843347,109
Pendulum-v1,hw,regular,ConstrainedSR3,10.0,3.593813663804626,0.4840341916843347,0.4840341916843347,109
Pendulum-v1,hw,regular,ConstrainedSR3,10.0,46.41588833612782,0.4840341916843347,0.4840341916843347,109
Pendulum-v1,hw,regular,ConstrainedSR3,10.0,599.4842503189421,0.19672391817405274,0.20441432519305838,109
Pendulum-v1,hw,regular,ConstrainedSR3,10.0,7742.636826811277,0.2403095540853903,0.23285287700172672,109
Pendulum-v1,hw,regular,ConstrainedSR3,10.0,100000.0,0.4840341916843262,0.4840341916843347,109
Pendulum-v1,hw,regular,ConstrainedSR3,1778.2794100389228,1e-05,0.4840341916843347,0.4840341916843347,109
Pendulum-v1,hw,regular,ConstrainedSR3,1778.2794100389228,0.0001291549665014884,0.1946303829155073,0.19509868693162327,109
Pendulum-v1,hw,regular,ConstrainedSR3,1778.2794100389228,0.0016681005372000592,0.1946303831270992,0.2003271734180606,109
Pendulum-v1,hw,regular,ConstrainedSR3,1778.2794100389228,0.021544346900318846,0.19463038442744063,0.19903018246204346,109
Pendulum-v1,hw,regular,ConstrainedSR3,1778.2794100389228,0.2782559402207126,0.4840341916843347,0.4840341916843347,109
Pendulum-v1,hw,regular,ConstrainedSR3,1778.2794100389228,3.593813663804626,0.4840341916843347,0.4840341916843347,109
Pendulum-v1,hw,regular,ConstrainedSR3,1778.2794100389228,46.41588833612782,0.4840341916843347,0.4840341916843347,109
Pendulum-v1,hw,regular,ConstrainedSR3,1778.2794100389228,599.4842503189421,0.19672391817405274,0.20441432519305838,109
Pendulum-v1,hw,regular,ConstrainedSR3,1778.2794100389228,7742.636826811277,0.2403095540853903,0.23285287700172672,109
Pendulum-v1,hw,regular,ConstrainedSR3,1778.2794100389228,100000.0,0.4840341916843262,0.4840341916843347,109
Pendulum-v1,hw,regular,ConstrainedSR3,316227.7660168379,1e-05,0.4840341916843347,0.4840341916843347,109
Pendulum-v1,hw,regular,ConstrainedSR3,316227.7660168379,0.0001291549665014884,0.1946303829155073,0.19509868693162327,109
Pendulum-v1,hw,regular,ConstrainedSR3,316227.7660168379,0.0016681005372000592,0.1946303831270992,0.2003271734180606,109
Pendulum-v1,hw,regular,ConstrainedSR3,316227.7660168379,0.021544346900318846,0.19463038442744063,0.19903018246204346,109
Pendulum-v1,hw,regular,ConstrainedSR3,316227.7660168379,0.2782559402207126,0.4840341916843347,0.4840341916843347,109
Pendulum-v1,hw,regular,ConstrainedSR3,316227.7660168379,3.593813663804626,0.4840341916843347,0.4840341916843347,109
Pendulum-v1,hw,regular,ConstrainedSR3,316227.7660168379,46.41588833612782,0.4840341916843347,0.4840341916843347,109
Pendulum-v1,hw,regular,ConstrainedSR3,316227.7660168379,599.4842503189421,0.19672391817405274,0.20441432519305838,109
Pendulum-v1,hw,regular,ConstrainedSR3,316227.7660168379,7742.636826811277,0.2403095540853903,0.23285287700172672,109
Pendulum-v1,hw,regular,ConstrainedSR3,316227.7660168379,100000.0,0.4840341916843262,0.4840341916843347,109
Pendulum-v1,hw,regular,ConstrainedSR3,56234132.51903491,1e-05,0.4840341916843347,0.4840341916843347,109
Pendulum-v1,hw,regular,ConstrainedSR3,56234132.51903491,0.0001291549665014884,0.1946303829155073,0.19509868693162327,109
Pendulum-v1,hw,regular,ConstrainedSR3,56234132.51903491,0.0016681005372000592,0.1946303831270992,0.2003271734180606,109
Pendulum-v1,hw,regular,ConstrainedSR3,56234132.51903491,0.021544346900318846,0.19463038442744063,0.19903018246204346,109
Pendulum-v1,hw,regular,ConstrainedSR3,56234132.51903491,0.2782559402207126,0.4840341916843347,0.4840341916843347,109
Pendulum-v1,hw,regular,ConstrainedSR3,56234132.51903491,3.593813663804626,0.4840341916843347,0.4840341916843347,109
Pendulum-v1,hw,regular,ConstrainedSR3,56234132.51903491,46.41588833612782,0.4840341916843347,0.4840341916843347,109
Pendulum-v1,hw,regular,ConstrainedSR3,56234132.51903491,599.4842503189421,0.19672391817405274,0.20441432519305838,109
Pendulum-v1,hw,regular,ConstrainedSR3,56234132.51903491,7742.636826811277,0.2403095540853903,0.23285287700172672,109
Pendulum-v1,hw,regular,ConstrainedSR3,56234132.51903491,100000.0,0.4840341916843262,0.4840341916843347,109
Pendulum-v1,hw,regular,ConstrainedSR3,10000000000.0,1e-05,0.4840341916843347,0.4840341916843347,109
Pendulum-v1,hw,regular,ConstrainedSR3,10000000000.0,0.0001291549665014884,0.1946303829155073,0.19509868693162327,109
Pendulum-v1,hw,regular,ConstrainedSR3,10000000000.0,0.0016681005372000592,0.1946303831270992,0.2003271734180606,109
Pendulum-v1,hw,regular,ConstrainedSR3,10000000000.0,0.021544346900318846,0.19463038442744063,0.19903018246204346,109
Pendulum-v1,hw,regular,ConstrainedSR3,10000000000.0,0.2782559402207126,0.4840341916843347,0.4840341916843347,109
